date_forecast,cfs_d-45,cfs_d-44,cfs_d-43,cfs_d-42,cfs_d-41,cfs_d-40,cfs_d-39,cfs_d-38,cfs_d-37,cfs_d-36,cfs_d-35,cfs_d-34,cfs_d-33,cfs_d-32,cfs_d-31,cfs_d-30,cfs_d-29,cfs_d-28,cfs_d-27,cfs_d-26,cfs_d-25,cfs_d-24,cfs_d-23,cfs_d-22,cfs_d-21,cfs_d-20,cfs_d-19,cfs_d-18,cfs_d-17,cfs_d-16,cfs_d-15,cfs_d-14,cfs_d-13,cfs_d-12,cfs_d-11,cfs_d-10,cfs_d-9,cfs_d-8,cfs_d-7,cfs_d-6,cfs_d-5,cfs_d-4,cfs_d-3,cfs_d-2,cfs_d-1
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.924500989539161
2022-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.08979078314956,15.295634718688156
2022-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.60560079163132,13.311506926774104,0.0
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.192914899632456,13.367605315238904,0.0,11.95256714729997
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.661676562058243,13.028953915747811,0.0,11.54680237489398,11.197673169352557
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33395250212044,10.242589765337854,0.0,10.517424370935824,11.022335312411649,10.707978512864008
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.701569126378287,7.016366977664689,0.0,6.199400621996041,5.841080011309019,5.034797851286402,0.0
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.364387899349731,6.399674865705401,0.0,7.57585807181227,7.880913203279613,7.4645518801244,0.0,9.466793893129772
2022-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.138091603053437,5.934749787955896,0.0,6.862762227876732,7.565589482612382,8.996084252191125,0.0,11.586793893129771,0.0
2022-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2629714447271745,7.088690981057392,0.0,7.076081424936387,6.821269437376304,7.036426350014137,0.0,11.187045518801243,0.0,0.0
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.174045801526718,6.956092733955332,0.0,8.435564037319763,8.009103760248797,8.000404297427197,0.0,6.582765055131467,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.019290359061351,9.072117613797005,0.0,12.73622278767317,15.069358213175006,17.260712468193393,0.0,18.26480350579588,0.0,0.0,0.0,21.508747526152103
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.465835453774387,5.0026661012157225,0.0,5.15480350579587,5.588586372632175,4.754413344642351,0.0,5.750172462538874,0.0,0.0,0.0,4.21187729714447,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.449901046084253,5.40759400621996,0.0,4.322202431439073,2.550115917444162,1.6906106870229007,0.0,1.044981622844218,0.0,0.0,0.0,0.2902035623409669,0.0,0.0
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089694656488549,5.021472999717274,0.0,2.9288040712468195,2.411758552445575,1.2542917726887193,0.0,0.4666016398077466,0.0,0.0,0.0,0.1810517387616625,0.0,0.0,0.090689850155499
2022-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.671829233813968,5.53116765620582,0.0,3.7851484308736216,2.795606446140798,2.010893412496467,0.0,0.7786881538026575,0.0,0.0,0.0,0.2824568843652812,0.0,0.0,0.058108566581849,0.0
2022-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.184206955046649,6.58711902742437,0.0,4.671800961266611,3.57078032230704,3.01565733672604,0.0,1.5598756007916317,0.0,0.0,0.0,0.3341956460277071,0.0,0.0,0.0619140514560362,0.0,0.0
2022-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.629708792762227,7.256875883517102,0.0,6.6866157760814255,6.616946564885497,4.911501272264632,0.0,3.660559796437658,0.0,0.0,0.0,0.9273763076053152,0.0,0.0,0.3745038167938931,0.0,0.0,0.0
2022-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.051311846197343,7.84482895108849,0.0,8.532422957308453,9.105072094995757,7.110056545094715,0.0,7.051238337574216,0.0,0.0,0.0,3.305835453774385,0.0,0.0,1.4515323720667237,0.0,0.0,0.0,0.4425756290641786
2022-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.761413627367832,8.113392705682784,0.0,8.518091603053437,7.941029120723779,7.738625954198473,0.0,7.448546791065874,0.0,0.0,0.0,5.915453774385075,0.0,0.0,4.074628216002262,0.0,0.0,0.0,1.618625954198473,1.2276392422957307
2022-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.637571388182076,8.627958722080862,0.0,8.665609273395527,8.980195080576763,9.09314956177552,0.0,9.077331071529548,0.0,0.0,0.0,8.234605597964373,0.0,0.0,6.906174724342663,0.0,0.0,0.0,3.859462821600226,3.010718122702856,2.9524484026010733
2022-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.661636980491943,11.004130619168787,0.0,9.335264348317782,9.371730279898216,9.30611252473848,0.0,9.393483177834325,0.0,0.0,0.0,9.512417302798983,0.0,0.0,8.920848176420698,0.0,0.0,0.0,8.217910658750354,7.814167373480353,7.923276788238621,7.251461690698332
2022-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.231676562058242,10.934433135425506,0.0,10.28189143341815,10.293129770992367,9.58173027989822,0.0,9.961639807746677,0.0,0.0,0.0,10.853505795872207,0.0,0.0,10.921987560079163,0.0,0.0,0.0,9.595015549901046,8.775561210065026,8.674783715012724,8.849790783149563,0.0
2022-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68050890585242,9.535660163980776,0.0,9.60985863726322,9.414648006785416,8.701566299123552,0.0,8.568399773819625,0.0,0.0,0.0,10.329971727452644,0.0,0.0,11.864164546225622,0.0,0.0,0.0,11.332592592592592,10.8188973706531,9.23604749787956,9.095600791631323,0.0,0.0
