Epoch,RMSE_train,RMSE_validation,MAE_train,MAE_validation
0,4.813461725661353,5.692343788827852,3.3496850706830643,3.9137352894428368
1,4.9138926543578965,5.195903656754165,3.3978540166038833,3.600038283735218
2,4.771624689502627,5.490579555654669,3.2723386750435437,3.741252833941513
3,4.821200547299601,5.547756809586088,3.287202773224639,3.6945382951868804
4,4.86221294292761,5.410876706742763,3.295724144772676,3.684045830242764
5,4.878111236778761,5.857048812627766,3.3269238805250927,3.834477847655913
6,4.929196405558061,5.623490924552974,3.349205612569052,3.670424622812595
7,4.969162548194709,5.453997687365095,3.3631535355734883,3.7030338178628273
8,4.958859830320111,5.499895913606846,3.3736268254742727,3.7254486947588363
9,4.968556829878559,5.492651696891284,3.360865940458908,3.716261550312258
