Epoch,RMSE_train,RMSE_validation,MAE_train,MAE_validation
0,2.652835365892503,5.5748630133174215,1.9013870441995855,3.894960147794673
1,3.500327885932561,5.068036008325783,2.4547327687279945,3.361351201921829
2,3.832211744174072,5.247413641743922,2.63697294644649,3.537914920619889
3,4.114105955026888,5.319280214024876,2.812128640508165,3.5382949888662787
4,4.291783505622608,5.06872899385487,2.907630754300279,3.4475231020020893
5,4.393981075114279,5.559950468539531,2.9704278344278525,3.671647370169298
6,4.496837583397631,5.055514917773068,3.0629261989138326,3.2248549936486577
7,4.548312091622765,4.996915058313426,3.052914465526602,3.2858417994304143
8,4.590514524915543,5.273195215442758,3.0834912313780194,3.3393528428455266
9,4.640503298515829,4.976057160575099,3.0950457721663454,3.122900514532393
